"","unit","allvotes","sd","rv","kf","sf","la","kd","df","ve","el","redshare"
"1133","graasten",5027,1462,291,214,293,175,43,791,1606,151,0.379152576089119
"1134","kvaers",571,158,18,16,35,37,1,100,189,16,0.366024518388792
"1136","hovslund",569,149,25,17,24,28,5,84,214,23,0.344463971880492
"1137","hellevad",567,123,15,12,37,16,8,84,253,19,0.315696649029982
"1138","roedekro",4447,1164,253,154,220,154,58,702,1638,102,0.334157859230942
"1139","loejt",2958,700,211,105,187,138,20,429,1063,105,0.335361730899256
"1140","hjordkaer",1289,364,55,26,52,51,35,226,454,26,0.342901474010861
"1141","ravsted",576,103,27,9,32,41,3,104,243,14,0.258680555555556
"1142","bolderslev",1456,353,64,42,89,66,22,209,580,30,0.324175824175824
"1143","ensted",1512,357,110,55,85,62,4,230,557,50,0.325396825396825
"1144","felsted",1453,341,75,45,73,49,7,238,579,46,0.316586373021335
"1145","varnaes",795,185,44,21,37,39,6,104,338,21,0.305660377358491
"1146","bylderup",1607,317,54,42,65,87,62,302,625,52,0.270068450528936
"1147","tinglev",2130,571,81,73,123,89,28,293,828,44,0.346478873239437
"1148","kliplev",1435,318,75,36,82,53,5,254,578,34,0.302439024390244
"1149","krusaa",2572,521,117,136,117,129,15,518,976,43,0.264774494556765
"1150","padborg",3098,744,123,131,159,113,7,574,1151,93,0.321497740477728
"1151","aabenraa midt",5843,1434,489,214,465,277,56,746,1889,271,0.371384562724628
"1152","aabenraa syd",2648,816,170,92,219,91,16,385,760,99,0.428247734138973
"1153","aabenraa nord",1585,528,104,49,122,55,10,229,418,70,0.454258675078864
"1155","bredebro",1297,421,37,52,38,51,5,182,487,23,0.371626831148805
"1156","ballum",467,122,12,16,24,22,16,50,185,20,0.355460385438972
"1157","visby",381,109,14,14,20,13,4,43,152,12,0.37007874015748
"1158","hoejer",1140,327,56,32,71,56,8,168,377,45,0.38859649122807
"1159","sdr. sejerslev",424,82,29,22,22,29,4,55,175,6,0.259433962264151
"1160","moegeltoender",785,186,47,30,75,37,3,106,282,19,0.356687898089172
"1161","loegumkloster",2233,435,126,89,109,101,81,329,908,54,0.267801164352888
"1162","nr. loegum",819,140,38,25,37,46,24,136,363,10,0.228327228327228
"1163","bedsted (toender opstillingskreds)",512,86,39,14,34,28,40,70,181,18,0.26953125
"1164","oester hoejst",574,89,26,20,28,28,11,122,235,15,0.229965156794425
"1165","agerskov",1392,299,64,53,77,77,84,189,518,31,0.292385057471264
"1166","arrild",490,90,25,17,22,36,5,89,188,17,0.263265306122449
"1167","branderup",352,78,24,12,30,25,9,41,128,5,0.321022727272727
"1168","doestrup",422,126,15,13,20,33,4,59,145,7,0.362559241706161
"1169","toftlund",2726,702,149,96,141,131,52,358,1045,52,0.328319882611886
"1170","broens",675,133,42,27,48,42,6,113,243,21,0.299259259259259
"1171","toender",5157,1448,342,177,599,197,38,547,1582,226,0.440760131859608
"1172","abild",736,147,35,18,53,33,12,137,281,20,0.298913043478261
"1173","hostrup",657,153,44,18,59,43,10,99,201,30,0.368340943683409
"1174","roemoe",420,77,29,24,30,17,2,80,144,16,0.292857142857143
"1175","skaerbaek",2424,641,103,102,137,90,19,352,923,55,0.343646864686469
"1176","vodder",423,76,17,16,17,27,9,49,205,6,0.234042553191489
"1178","omraadecentret strandby",4659,1073,347,175,444,246,30,552,1467,323,0.394934535308006
"1179","esbjerg raadhus",3339,828,298,133,375,160,25,376,861,281,0.444444444444444
"1180","skovbo-centeret",1718,609,75,35,179,40,14,261,376,128,0.533178114086147
"1181","roerkjaer skole",2834,946,169,65,335,85,7,391,606,230,0.533168666196189
"1182","bakkeskolen",3835,1422,164,74,426,120,20,578,734,297,0.559322033898305
"1183","boldesager skole",3991,1252,299,108,411,165,25,482,971,277,0.486093710849411
"1184","oesterbycentret",3029,1129,153,44,390,71,25,444,575,196,0.566193463189171
"1185","vestervangskolen (esbjerg by opstillingskreds)",2656,654,152,99,211,111,20,324,968,115,0.368975903614458
"1186","saedding skole",4848,1316,283,154,376,181,56,676,1584,220,0.394389438943894
"1187","klub askelunden",2299,843,88,41,248,57,22,323,538,136,0.533710308829926
"1188","aadalskolen",2208,575,111,57,162,95,13,339,755,101,0.379528985507246
"1189","blaabjerggaardsskolen",2567,882,132,60,244,79,12,318,696,143,0.494351382937281
"1190","nordby (esbjerg by opstillingskreds)",1993,414,170,80,204,96,6,269,605,146,0.383341695935775
"1191","soenderho",244,51,21,14,33,13,2,23,61,26,0.450819672131148
"1193","skads skole",1284,280,73,43,91,67,4,200,493,33,0.314641744548287
"1194","roager",383,77,26,7,12,20,9,54,165,13,0.266318537859008
"1195","forum fritidscenter",164,29,9,5,10,8,0,24,72,7,0.280487804878049
"1196","bryndum skole",1570,373,74,52,74,97,4,181,656,58,0.321656050955414
"1197","vester nebel skole",348,86,19,9,35,20,4,38,126,11,0.379310344827586
"1198","oelufvad kro",139,28,0,1,15,5,5,22,60,3,0.330935251798561
"1199","hjerting skole",4724,990,334,222,229,250,16,583,1965,134,0.286409822184589
"1200","guldager skole",941,247,34,25,61,44,7,107,390,26,0.354941551540914
"1201","kokspang fritidscenter",404,93,15,10,17,20,1,63,166,19,0.319306930693069
"1202","opsneum fritidscenter",204,44,14,6,12,8,0,34,71,15,0.348039215686274
"1203","tjaereborg fritidscenter",1964,517,144,48,149,85,8,284,662,67,0.373217922606925
"1204","soenderrisskolen",2389,670,151,71,180,137,30,300,761,88,0.392632900795312
"1205","bramming",4712,1189,347,156,310,210,44,619,1708,129,0.345500848896435
"1206","darum",807,184,49,20,47,49,8,103,311,36,0.330855018587361
"1207","ribe",5880,1402,517,202,705,234,20,604,1806,390,0.424659863945578
"1208","farup",511,109,30,19,43,27,8,39,210,26,0.348336594911937
"1209","v. nykirke",354,62,18,9,19,18,3,63,153,9,0.254237288135593
"1210","hjortlund",186,34,10,9,14,8,0,34,75,2,0.268817204301075
"1211","hviding",1301,308,86,34,124,56,12,143,485,53,0.372790161414297
"1212","jernved",1227,242,65,42,77,61,18,185,500,37,0.290138549307253
"1213","kalvslund",157,14,6,5,3,11,0,11,99,8,0.159235668789809
"1214","mandoe",28,3,2,1,4,2,0,4,12,0,0.25
"1215","obbekjaer",135,20,7,3,8,6,3,18,63,6,0.251851851851852
"1216","grimstrup",433,88,17,17,29,28,5,68,168,13,0.300230946882217
"1217","seem",440,77,26,6,41,24,2,77,170,14,0.3
"1218","spandet",294,70,6,5,9,14,3,57,117,13,0.312925170068027
"1219","goerding",1584,334,84,44,111,69,29,258,606,48,0.311237373737374
"1220","vilslev",441,101,34,7,37,28,0,47,165,21,0.360544217687075
"1221","oe.vedsted",651,153,55,25,53,29,3,82,214,37,0.373271889400922
"1222","hunderup",490,93,34,12,59,29,6,58,183,16,0.342857142857143
"1223","vejrup",746,142,22,19,45,35,7,138,320,17,0.273458445040214
"1225","varde by",8696,2069,521,348,606,378,55,1237,3203,279,0.339696412143514
"1226","sig",744,149,61,17,33,42,4,87,325,26,0.279569892473118
"1227","billum",535,90,33,8,32,25,1,77,256,13,0.252336448598131
"1228","tinghoej",563,78,42,24,19,33,8,88,257,14,0.197158081705151
"1229","alslev",994,210,74,35,69,41,9,131,401,24,0.304828973843058
"1230","horne (varde opstillingskreds)",763,113,53,17,56,29,10,106,364,14,0.239842726081258
"1231","janderup",866,157,41,26,48,50,14,118,389,23,0.263279445727483
"1232","lunde",823,133,49,19,48,30,17,131,366,30,0.256379100850547
"1233","noerre nebel",1531,265,76,31,107,63,11,253,661,63,0.284128020901372
"1234","henne",534,64,35,26,28,31,22,80,231,17,0.204119850187266
"1235","outrup",1052,147,64,28,63,57,13,153,495,32,0.230038022813688
"1236","oksboel",2482,514,105,74,153,94,15,331,1130,66,0.295326349717969
"1237","blaavand",405,68,19,11,24,15,0,67,189,12,0.25679012345679
"1238","aarre",756,127,51,15,33,32,12,126,342,18,0.235449735449735
"1239","agerbaek",1062,160,57,19,67,47,21,158,510,23,0.235404896421846
"1240","faaborg",462,60,26,14,23,18,0,66,240,15,0.212121212121212
"1241","naesbjerg",963,150,52,23,40,59,10,135,484,10,0.207684319833853
"1242","starup (varde opstillingskreds)",687,111,26,20,22,34,23,105,335,11,0.209606986899563
"1243","nordenskov",890,143,58,22,40,43,3,123,439,19,0.226966292134831
"1244","oelgod",3888,622,299,103,192,163,222,530,1684,72,0.227880658436214
"1245","tistrup",1331,223,73,35,72,60,18,172,636,42,0.253193087903832
"1246","ansager",1182,252,68,33,70,43,38,196,445,37,0.303722504230118
"1247","skovlund",562,80,54,13,26,43,25,55,248,18,0.220640569395018
"1249","billund",4250,656,280,218,178,269,52,686,1802,109,0.221882352941176
"1250","sdr. omme",1527,350,70,42,102,75,11,277,566,32,0.316961362148003
"1251","vorbasse",1398,284,74,41,83,77,34,214,555,32,0.285407725321888
"1252","filskov",685,84,21,21,33,19,5,130,356,16,0.194160583941606
"1253","st./krogager",640,117,26,17,32,11,19,114,289,15,0.25625
"1254","grindsted",6763,1615,344,152,350,231,165,1139,2609,156,0.313618216767707
"1255","hejnsvig",1334,240,39,33,51,59,31,286,569,26,0.237631184407796
"1256","broerup",3581,955,190,116,229,192,14,492,1299,90,0.355766545657638
"1257","lindknud",582,100,20,16,42,37,2,118,235,11,0.262886597938144
"1258","holsted",2284,539,112,68,161,105,14,378,822,82,0.342381786339755
"1259","foevling",750,100,37,16,44,49,6,137,339,20,0.218666666666667
"1260","glejbjerg",812,144,37,21,35,54,7,115,380,19,0.24384236453202
"1261","hovborg",365,71,18,13,22,24,7,59,138,13,0.29041095890411
"1262","roedding (vejen opstillingskreds)",2285,445,132,117,148,111,37,281,970,44,0.278774617067834
"1263","sdr. hygum",611,106,37,28,47,38,10,58,256,31,0.30114566284779
"1264","jels",1642,365,95,55,106,75,14,240,651,40,0.311205846528624
"1265","lintrup",482,69,34,16,15,32,2,63,244,7,0.188796680497925
"1266","skodborg",1166,260,40,51,81,61,11,192,445,25,0.313893653516295
"1267","koebenhoved",329,54,25,13,16,31,7,43,136,4,0.224924012158055
"1268","oester lindet",529,91,30,30,35,28,3,74,216,22,0.279773156899811
"1269","vejen",5671,1681,353,246,372,280,30,710,1846,152,0.388820313877623
"1270","laeborg",469,76,25,26,28,36,0,85,180,12,0.247334754797441
"1271","askov-malt",1921,374,194,91,104,126,2,202,778,50,0.274856845393024
"1272","andst",959,192,63,37,108,53,15,137,331,22,0.335766423357664
"1273","gesten",980,235,63,35,54,62,9,138,354,30,0.325510204081633
"1274","baekke",1385,284,66,40,111,62,13,274,496,38,0.312635379061372
"1276","skibethallen nord",1504,276,141,81,99,91,15,206,526,68,0.294547872340426
"1277","give nord",3749,674,229,184,196,137,44,936,1284,65,0.249399839957322
"1278","thyregod nord",1501,230,112,26,87,68,25,501,395,56,0.248500999333777
"1279","gadbjerg nord",819,149,89,39,41,39,10,158,273,21,0.257631257631258
"1280","givskud nord",766,116,40,28,66,31,6,170,290,19,0.262402088772846
"1281","groenbjerg nord",732,90,57,26,35,49,11,185,264,15,0.191256830601093
"1282","lindeballe nord",341,47,29,16,17,29,2,59,132,10,0.217008797653959
"1283","oester nykirke nord",1090,207,53,41,64,47,6,273,364,35,0.280733944954128
"1284","jelling nord",2662,546,341,129,280,132,18,310,772,134,0.360631104432757
"1285","kollerup-sandvad nord",1159,194,80,33,106,57,14,187,441,47,0.29939603106126
"1286","grejs nord",898,213,92,46,58,53,17,128,270,21,0.325167037861915
"1287","bredsten nord",1490,277,127,49,99,72,9,261,554,42,0.280536912751678
"1288","noerup nord",1084,138,79,47,73,70,13,202,425,37,0.228782287822878
"1289","randboel nord",1050,178,88,40,67,65,13,224,345,30,0.261904761904762
"1290","noerremarkshallen nord",3671,1015,384,103,380,149,62,543,826,208,0.43666575864887
"1291","engum nord",779,168,64,36,51,53,6,114,262,23,0.310654685494223
"1292","haeldagerhallen nord",5526,1093,540,390,315,400,49,690,1899,147,0.281397032211364
"1293","grejsdalshallen nord",1536,361,181,56,144,90,23,243,344,93,0.389322916666667
"1294","petersmindehallen nord",2645,696,256,111,238,131,17,456,644,95,0.389035916824197
"1296","brejning syd",1825,530,160,94,168,87,17,244,451,74,0.423013698630137
"1297","boerkop syd",3525,864,289,174,255,189,63,564,1019,108,0.348085106382979
"1298","gaarslev syd",1457,338,113,62,85,58,44,247,460,50,0.324639670555937
"1299","smidstrup syd",1508,302,92,62,90,96,24,280,505,57,0.297745358090186
"1300","oedsted syd",1329,277,102,47,79,60,22,248,453,41,0.298720842738901
"1301","egtved syd",2287,375,187,88,154,134,18,381,886,64,0.259291648447748
"1302","jerlev syd",684,145,53,20,26,38,9,143,225,25,0.286549707602339
"1303","oester starup syd",1361,247,116,57,128,89,16,214,449,45,0.308596620132256
"1304","dgi-huset syd",8455,2258,643,301,949,545,88,1275,1828,565,0.446126552335896
"1305","multihuset hoejen syd",850,168,65,30,55,45,10,148,288,41,0.310588235294118
"1306","vindinghallen syd",3220,679,263,193,168,219,17,506,1109,66,0.283540372670807
"1307","moelholmhallen syd",2313,363,267,161,133,175,9,326,793,86,0.251621271076524
"1308","loeget kirke syd",1741,568,148,45,188,62,9,256,335,128,0.507754164273406
"1309","csv syd",2041,621,203,60,215,81,8,341,381,130,0.473297403233709
"1310","roedkilde gymnasium syd",2398,677,159,86,237,153,20,396,507,163,0.449124270225188
"1312","gymnasiet",8363,2986,480,277,785,275,90,1255,1752,463,0.506277651560445
"1313","bredstrup-pjedsted",1051,275,58,38,67,41,16,178,345,31,0.354900095147479
"1314","erritsoe",6570,1721,441,311,385,340,57,921,2195,197,0.350532724505327
"1315","herslev",525,113,25,26,38,38,4,108,159,14,0.314285714285714
"1316","taulov",3572,732,286,196,212,239,22,483,1311,89,0.289193729003359
"1317","soendermarken",6256,2283,330,178,535,187,49,1025,1395,274,0.494245524296675
"1318","boegeskov",1345,348,84,57,69,54,7,195,500,29,0.331598513011152
"1319","indre by",4371,1295,274,159,439,221,36,693,913,339,0.474262182566918
"1321","centrum nord",4590,816,443,241,504,356,24,471,1425,308,0.354684095860566
"1322","nordbyen",2789,839,199,94,394,131,16,413,472,231,0.52491932592327
"1323","vestbyen (kolding nord opstillingskreds)",3687,1040,313,135,457,168,38,492,855,187,0.456739896935178
"1324","strandhuse/nr. bjert/ eltang",5291,789,498,380,307,420,32,596,2148,121,0.23001323001323
"1325","bramdrupdam",3650,729,282,164,299,192,15,534,1337,98,0.308493150684931
"1326","alminde-viuf/vester nebel",3046,512,225,146,214,202,13,435,1215,84,0.265922521339462
"1327","lunderskov/jordrup",3691,757,230,210,328,207,52,517,1254,134,0.330262801408832
"1329","centrum syd",3728,945,242,132,541,206,17,633,777,234,0.46137339055794
"1330","sydbyen",5359,1109,522,217,706,336,88,733,1346,299,0.394476581451763
"1331","seest",3948,888,281,188,431,169,98,581,1190,122,0.36499493414387
"1332","dalby/tved/rebaek",2731,453,241,173,162,191,8,328,1113,59,0.246796045404614
"1333","s bjert/s stenderup/vejstrup",2969,508,293,125,355,153,16,415,965,135,0.336140114516672
"1334","vonsild",1807,437,123,67,142,107,8,326,544,53,0.349750968456004
"1335","vamdrup/hjarup/oedis",4772,1078,232,529,301,242,54,827,1364,144,0.319153394803018
"1336","chr.feld/stepping/taps/hejls",4391,955,265,206,324,211,69,708,1498,154,0.326349350945115
"1338","gram",1913,456,107,71,130,76,28,276,714,55,0.335075797177209
"1339","arnum",637,126,27,11,35,35,22,128,237,16,0.277864992150706
"1340","tiset",180,25,12,10,12,4,2,36,73,6,0.238888888888889
"1341","fole",218,39,10,4,21,12,2,0,120,10,0.321100917431193
"1342","haderslev syd-vest",2265,533,175,107,212,128,36,269,699,106,0.375717439293598
"1343","haderslev syd",1882,586,106,60,182,69,33,319,440,86,0.453772582359192
"1344","haderslev midtby",2542,578,204,116,252,184,28,291,718,171,0.393784421715185
"1345","haderslev vest",2682,563,269,131,285,128,41,286,851,126,0.363161819537658
"1346","sommersted",1126,221,44,27,74,67,28,162,472,30,0.288632326820604
"1347","haderslev nord",1982,591,146,95,204,75,28,260,486,96,0.449545913218971
"1348","haderslev oest",1614,399,134,80,134,76,20,167,508,95,0.38909541511772
"1349","moltrup",363,63,21,13,26,27,16,67,121,9,0.269972451790634
"1350","hoptrup",846,192,55,37,69,31,14,144,259,45,0.361702127659574
"1351","starup (haderslev opstillingskreds)",1905,478,122,86,128,96,10,245,676,64,0.351706036745407
"1352","vilstrup",485,128,28,8,43,27,2,80,156,13,0.379381443298969
"1353","kelstrup",341,61,19,14,24,17,4,57,136,8,0.272727272727273
"1354","vonsbaek",291,50,20,13,21,20,2,49,104,12,0.285223367697594
"1355","aastrup",1092,240,90,45,106,52,19,156,337,47,0.35989010989011
"1356","oesby",995,250,57,32,83,80,6,130,323,34,0.368844221105528
"1357","aaroe",127,20,4,1,13,6,0,24,54,5,0.299212598425197
"1358","marstrup",589,134,38,27,39,34,10,94,206,7,0.305602716468591
"1359","halk",494,86,30,20,28,32,7,71,203,17,0.265182186234818
"1360","fjelstrup",868,190,39,29,61,52,10,122,326,39,0.334101382488479
"1361","bevtoft",872,190,41,22,49,52,35,169,290,22,0.299311926605505
"1362","vojens oest",2359,706,96,68,174,79,15,368,784,67,0.401441288681645
"1363","vojens vest",2092,607,101,55,191,76,14,274,711,63,0.411567877629063
"1364","skrydstrup",725,163,23,20,56,34,3,105,298,23,0.333793103448276
"1365","hammelev",1033,192,57,34,132,50,7,131,412,18,0.33107454017425
"1366","jegerup",385,93,14,16,25,26,9,44,133,23,0.366233766233766
"1367","simmersted",320,66,6,6,18,25,9,36,147,7,0.284375
"1368","nustrup",772,146,32,19,47,57,3,111,334,21,0.27720207253886
"1369","oksenvad",379,77,17,18,29,16,6,54,150,12,0.311345646437995
"1370","vedsted (haderslev opstillingskreds)",595,136,26,19,35,25,6,96,227,25,0.329411764705882
"1371","over jerstal",857,267,36,26,66,42,5,128,268,19,0.41073512252042
"1374","lemvig",4698,1049,333,177,536,240,275,622,1352,114,0.36164325244785
"1375","noerre nissum",1741,321,168,68,235,101,133,192,464,59,0.353245261344055
"1376","klinkby",1475,282,104,39,195,75,82,181,474,43,0.352542372881356
"1377","ramme",1430,261,79,40,205,73,85,185,452,49,0.36013986013986
"1378","boevling",1013,139,48,22,100,58,75,154,380,36,0.27147087857848
"1379","flynder",974,140,48,27,91,54,97,125,362,30,0.267967145790554
"1380","thyboroen",1354,308,50,26,90,47,90,268,442,33,0.318316100443131
"1381","harbooere",1318,333,53,35,96,47,124,166,439,25,0.344461305007587
"1382","struer",5400,1846,324,172,592,198,156,571,1336,204,0.489259259259259
"1383","gimsing",1526,491,106,70,159,71,48,172,368,41,0.452817824377457
"1384","hjerm",1179,247,83,35,91,65,86,126,409,37,0.318066157760814
"1385","humlum",1262,343,68,31,143,65,84,130,364,34,0.412044374009509
"1386","bremdal",1364,367,104,47,118,71,48,139,439,30,0.377565982404692
"1387","langhoej",1555,294,93,41,116,62,140,208,567,34,0.285530546623794
"1388","hvidbjerg",2263,537,109,104,208,79,242,297,622,64,0.357490057445868
"1390","aakjaer",4992,1512,340,175,538,222,25,659,1272,246,0.459935897435897
"1391","skivehus",4321,1194,400,153,331,190,45,464,1425,119,0.380467484378616
"1392","braarup",4577,1647,326,121,462,198,39,552,1042,190,0.502294079091108
"1393","hoejslev",2702,702,173,58,208,105,12,469,895,80,0.36639526276832
"1394","oerslevkloster",946,164,70,22,59,36,9,157,393,36,0.273784355179704
"1395","roenbjerg",578,137,42,20,60,32,8,94,170,15,0.366782006920415
"1396","hem",667,186,41,10,57,28,3,66,253,21,0.395802098950525
"1397","lihme",518,164,45,10,43,23,5,54,152,22,0.442084942084942
"1398","oddense - otting",635,191,54,6,50,39,0,46,232,17,0.406299212598425
"1399","roedding (skive opstillingskreds)",999,303,75,16,64,43,15,112,340,31,0.398398398398398
"1400","glyngoere",1336,352,102,38,115,54,9,180,431,55,0.390718562874251
"1401","durup",974,263,56,28,67,42,22,111,353,32,0.371663244353183
"1402","roslev",1538,458,101,26,127,54,10,168,553,41,0.40702210663199
"1403","balling",1172,395,96,22,71,59,5,120,373,30,0.42320819112628
"1404","haasum - ramsing",549,174,29,7,41,25,2,80,168,23,0.433515482695811
"1405","lem - vejby",657,195,45,10,51,23,5,96,198,34,0.426179604261796
"1406","fur",593,112,42,23,51,18,20,62,233,32,0.328836424957841
"1407","selde",1012,272,68,21,89,27,12,114,353,55,0.411067193675889
"1408","breum",1276,295,99,19,123,63,6,131,490,50,0.366771159874608
"1409","jebjerg-lyby",1115,348,77,18,89,41,7,121,375,39,0.426905829596413
"1411","frederiks",2119,563,145,72,179,76,37,306,675,51,0.374233128834356
"1412","hald ege",2268,430,274,103,237,111,12,202,794,104,0.33994708994709
"1413","karup",2253,574,108,84,166,77,25,351,786,79,0.363515312916112
"1414","loegstrup",2279,482,150,82,174,121,21,274,919,54,0.31154014918824
"1415","moensted",1542,362,116,43,146,59,4,220,546,43,0.357328145265888
"1416","stoholm",2193,516,143,64,182,93,22,294,819,59,0.345189238486092
"1417","vridsted",1532,355,112,37,115,76,17,227,539,53,0.341383812010444
"1418","viborg",17593,4821,1536,600,1898,775,130,1727,5229,864,0.431023702608992
"1420","bjerringbro nord",4639,1012,392,175,363,228,65,537,1717,148,0.328303513688295
"1421","bjerringbro syd",1888,465,120,68,122,81,17,287,667,57,0.341101694915254
"1422","hammershoej",1503,292,96,46,127,78,10,194,595,65,0.322022621423819
"1423","moeldrup",3071,577,174,95,182,137,52,454,1320,78,0.272549658091827
"1424","overlund",8043,1916,907,351,691,383,82,709,2713,287,0.359815989058809
"1425","roedding (viborg oest opstillingskreds)",2274,514,177,47,184,117,18,228,902,87,0.345206684256816
"1426","roedkaersbro",2143,526,116,72,151,89,45,321,744,77,0.351843210452637
"1427","skals",2476,544,150,75,173,111,31,280,1029,83,0.323101777059774
"1428","oerum (viborg oest opstillingskreds)",2082,429,156,69,148,118,38,287,778,58,0.304995196926033
"1430","ans",2188,427,143,71,161,83,64,246,911,82,0.306215722120658
"1431","funder",1508,378,106,62,129,81,22,195,452,79,0.388594164456233
"1432","faarvang",1263,319,66,48,106,57,12,190,422,42,0.369754552652415
"1433","gjern",1305,262,158,68,129,83,52,108,377,68,0.351724137931034
"1434","grauballe",844,147,69,42,80,61,17,102,289,37,0.312796208530806
"1435","goedvad",3870,1134,318,189,331,247,51,408,977,214,0.433850129198966
"1436","kjellerup",3602,887,249,127,239,159,58,491,1276,115,0.344530816213215
"1437","kragelund",866,220,58,25,57,48,11,115,289,43,0.369515011547344
"1438","lemming",882,170,64,32,91,47,15,128,298,37,0.337868480725624
"1439","linaa",1027,226,95,42,103,65,9,127,280,78,0.396299902629017
"1440","resenbro",1243,376,121,49,97,52,15,146,345,41,0.413515687851971
"1441","sejling",649,136,60,19,52,59,16,62,210,35,0.343605546995377
"1442","sejs",2746,574,311,191,248,189,11,276,854,92,0.332847778587036
"1443","sjoerslev",727,185,47,19,47,35,6,90,270,26,0.354883081155433
"1444","sorring",1111,255,109,45,105,68,16,116,326,68,0.385238523852385
"1445","thorning",1931,363,123,56,133,98,30,284,779,64,0.290005178663905
"1446","vinderslev",889,170,42,21,66,41,21,141,353,34,0.303712035995501
"1447","voel",1073,270,99,62,64,44,33,103,366,32,0.341099720410065
"1449","balle",2650,707,245,134,175,159,27,276,833,94,0.368301886792453
"1450","bryrup",1445,300,124,42,182,97,9,166,439,86,0.393079584775087
"1451","buskelundskolen",2996,515,355,234,162,303,17,219,1122,69,0.248998664886515
"1452","gjessoe",773,140,87,24,55,70,3,81,286,27,0.28719275549806
"1453","hjoellund",329,57,33,14,45,12,0,47,79,42,0.437689969604863
"1454","langsoeskolen",1709,541,171,58,217,77,19,155,347,123,0.515506143943827
"1455","lysbro",1837,394,194,95,147,130,13,171,597,95,0.346216657593903
"1456","nordre (silkeborg syd opstillingskreds)",2973,899,243,116,353,104,29,335,680,214,0.493104608139926
"1457","silkeborghallerne",4209,1494,307,194,372,182,40,456,889,273,0.508196721311475
"1458","them",2391,540,200,97,189,136,10,363,752,104,0.348389795064826
"1459","vestergadehallen",6202,1543,646,293,735,318,40,542,1568,517,0.450661077071912
"1460","virklund",2301,447,301,112,170,141,11,200,829,90,0.307257714037375
"1462","ejstrup",1565,299,87,67,83,83,30,325,537,53,0.277955271565495
"1463","gludsted",355,69,16,8,21,24,11,63,137,6,0.270422535211268
"1464","noerre-snede",1624,340,77,59,149,58,12,396,451,80,0.350369458128079
"1465","hampen",333,79,15,9,20,20,3,88,89,10,0.327327327327327
"1466","klovborg",670,125,45,17,48,21,23,139,226,26,0.297014925373134
"1467","paarup",317,78,22,11,21,9,0,66,95,15,0.359621451104101
"1468","brande by",4522,808,279,273,353,202,66,701,1724,114,0.281954887218045
"1469","blaahoej",589,74,24,48,30,31,22,116,225,18,0.207130730050934
"1470","uhre",301,38,15,17,17,17,2,42,151,2,0.18936877076412
"1471","drantum",221,21,13,15,21,14,3,39,92,3,0.203619909502262
"1472","ikast",10126,2352,656,512,520,472,141,1424,3801,239,0.307228915662651
"1473","isenvad",692,102,39,22,26,43,18,120,314,8,0.196531791907514
"1474","bording",2123,464,129,84,101,98,75,286,835,50,0.289684408855393
"1475","agerskov-stubkjaer",269,34,7,6,11,15,7,53,132,4,0.182156133828996
"1476","engesvang",1590,580,101,51,89,68,24,214,404,59,0.457861635220126
"1478","herning",16209,3798,1279,808,1252,849,295,1848,5476,597,0.348386698747609
"1479","arnborg",850,191,42,26,64,36,17,170,284,20,0.323529411764706
"1480","kibaek",2131,426,119,105,85,103,55,251,954,32,0.254809948381042
"1481","koelkaer",648,157,32,22,75,27,19,114,187,15,0.381172839506173
"1482","lind",3658,658,291,137,196,185,39,360,1728,64,0.25095680699836
"1483","sdr. felding",1531,322,80,68,94,46,52,217,595,57,0.308948399738733
"1484","skarrild",651,81,36,35,41,30,17,118,278,14,0.208909370199693
"1485","studsgaard",534,107,34,19,34,21,7,92,205,15,0.292134831460674
"1487","aulum",2651,430,156,138,157,108,225,357,1019,58,0.243304413428895
"1488","feldborg",509,100,20,11,31,17,14,101,205,10,0.277013752455796
"1489","gullestrup",967,261,87,14,112,35,26,105,248,79,0.467425025853154
"1490","haderup",804,122,45,28,55,36,24,137,341,15,0.238805970149254
"1491","hammerum",5391,938,500,296,298,356,113,511,2245,131,0.253570766091634
"1492","hodsager",479,51,25,15,35,25,45,80,191,12,0.204592901878914
"1493","ilskov",619,129,31,17,36,31,6,102,260,6,0.276252019386107
"1494","simmelkaer",310,41,21,7,15,14,6,45,152,8,0.206451612903226
"1495","sinding",613,94,43,19,38,34,24,90,246,24,0.254486133768352
"1496","skibbild/noevling",673,135,53,31,62,10,28,93,236,25,0.329866270430906
"1497","snejbjerg",3117,590,217,130,151,161,48,334,1425,61,0.25729868463266
"1498","sunds",2958,520,158,120,148,184,37,365,1359,66,0.248140635564571
"1499","timring",817,92,36,45,39,37,49,136,362,19,0.18359853121175
"1500","tjoerring",3576,770,270,162,214,141,96,382,1469,72,0.295302013422819
"1501","vildbjerg",2859,499,189,108,131,120,110,341,1295,66,0.243441762854145
"1502","vind",355,83,22,9,28,24,21,46,114,8,0.335211267605634
"1503","vinding",1125,162,75,48,56,49,109,134,468,23,0.214222222222222
"1504","oernhoej",771,129,40,28,41,36,25,143,316,13,0.237354085603113
"1506","musikteatret",11943,2919,915,495,1061,690,834,1244,3325,453,0.371179770576907
"1507","mejdal",3061,693,221,107,221,196,199,317,1041,65,0.319830120875531
"1508","skave",1448,285,75,65,108,92,73,176,543,31,0.292817679558011
"1509","mejrup",2442,498,205,110,173,160,139,212,886,59,0.298935298935299
"1510","birkelundskolen",8623,2613,562,336,847,374,592,916,2010,368,0.443929027020758
"1511","vinderup",3778,925,222,118,283,224,228,525,1152,99,0.345950238221281
